number,DG_num,RX_num,DG,RX,catalyst,ligand,solvent,addictive,tag,m/(m+o),m/(m+p),yield,notation,DOI,,,
46,27,3,CC1=NC(C2=CC=CC=C2)=NC=C1,CC(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.66,,10.1039/c7ob01192j,,,
47,27,3,CC1=NC(C2=CC=CC=C2)=NC=C1,CC(Br)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.37,,10.1039/c7ob01192j,,,
48,1,4,C1(C2=CC=CC=C2)=NC=CC=C1,CC(Br)C(OC(C)(C)C)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.41,,10.1039/c7ob01192j,,,
49,1,5,C1(C2=CC=CC=C2)=NC=CC=C1,CC(Br)C(C1=CC=CC=C1)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.41,,10.1039/c7ob01192j,,,
50,1,6,C1(C2=CC=CC=C2)=NC=CC=C1,BrC(C(OCC)=O)CC1=CC=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.45,,10.1039/c7ob01192j,,,
51,14,7,COC(C=C1)=CC=C1C2=NC=CC=C2,ClCC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.57,,10.1039/c7ob01192j,,,
52,1,7,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.76,,10.1039/c7ob01192j,,,
53,20,7,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,ClCC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.41,,10.1039/c7ob01192j,,,
54,14,8,COC(C=C1)=CC=C1C2=NC=CC=C2,ICC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.41,,10.1039/c7ob01192j,,,
55,1,8,C1(C2=CC=CC=C2)=NC=CC=C1,ICC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.3,,10.1039/c7ob01192j,,,
